profile,apid_hex,type,seq,len_total,mic,sent_bytes
HK_TLM_TINY,0x07F,TM,197,70,,70
CFDP_META,0x0B3,TC,198,144,,144
HK_TLM_TINY,0x07F,TM,198,70,,70
CFDP_META,0x0B3,TC,199,144,,144
HK_TLM_TINY,0x07F,TM,199,70,,70
CFDP_META,0x0B3,TC,200,144,,144
HK_TLM_TINY,0x07F,TM,200,70,,70
CFDP_META,0x0B3,TC,201,144,,144
HK_TLM_TINY,0x07F,TM,201,70,,70
CFDP_META,0x0B3,TC,202,144,,144
HK_TLM_TINY,0x07F,TM,202,70,,70
CFDP_META,0x0B3,TC,203,144,,144
HK_TLM_TINY,0x07F,TM,203,70,,70
CFDP_META,0x0B3,TC,204,144,,144
HK_TLM_TINY,0x07F,TM,204,70,,70
CFDP_META,0x0B3,TC,205,144,,144
HK_TLM_TINY,0x07F,TM,205,70,,70
CFDP_META,0x0B3,TC,206,144,,144
HK_TLM_TINY,0x07F,TM,206,70,,70
CFDP_META,0x0B3,TC,207,144,,144
HK_TLM_TINY,0x07F,TM,207,70,,70
CFDP_META,0x0B3,TC,208,144,,144
HK_TLM_TINY,0x07F,TM,208,70,,70
CFDP_META,0x0B3,TC,209,144,,144
HK_TLM_TINY,0x07F,TM,209,70,,70
CFDP_META,0x0B3,TC,210,144,,144
HK_TLM_TINY,0x07F,TM,210,70,,70
CFDP_META,0x0B3,TC,211,144,,144
HK_TLM_TINY,0x07F,TM,211,70,,70
CFDP_META,0x0B3,TC,212,144,,144
HK_TLM_TINY,0x07F,TM,212,70,,70
CFDP_META,0x0B3,TC,213,144,,144
HK_TLM_TINY,0x07F,TM,213,70,,70
CFDP_META,0x0B3,TC,214,144,,144
HK_TLM_TINY,0x07F,TM,214,70,,70
CFDP_META,0x0B3,TC,215,144,,144
HK_TLM_TINY,0x07F,TM,215,70,,70
CFDP_META,0x0B3,TC,216,144,,144
HK_TLM_TINY,0x07F,TM,216,70,,70
CFDP_META,0x0B3,TC,217,144,,144
HK_TLM_TINY,0x07F,TM,217,70,,70
CFDP_META,0x0B3,TC,218,144,,144
HK_TLM_TINY,0x07F,TM,218,70,,70
CFDP_META,0x0B3,TC,219,144,,144
HK_TLM_TINY,0x07F,TM,219,70,,70
CFDP_META,0x0B3,TC,220,144,,144
HK_TLM_TINY,0x07F,TM,220,70,,70
CFDP_META,0x0B3,TC,221,144,,144
