rx_ts_sec,src_ip,src_port,apid_hex,type,seq,total_bytes,shf,sec_mode,sec_len,mic_state,mic_value,user_len,note
1761179346.032755,127.0.0.1,49482,0x07f,TM,137,70,1,fixed:8,8,none,,56,
1761179346.034869,127.0.0.1,49482,0x0b3,TC,138,144,1,ns8,8,none,,130,
1761179346.036949,127.0.0.1,49482,0x07f,TM,138,70,1,fixed:8,8,none,,56,
1761179346.039038,127.0.0.1,49482,0x0b3,TC,139,144,1,ns8,8,none,,130,
1761179346.041101,127.0.0.1,49482,0x07f,TM,139,70,1,fixed:8,8,none,,56,
1761179346.043348,127.0.0.1,49482,0x0b3,TC,140,144,1,ns8,8,none,,130,
1761179346.045522,127.0.0.1,49482,0x07f,TM,140,70,1,fixed:8,8,none,,56,
1761179346.047641,127.0.0.1,49482,0x0b3,TC,141,144,1,ns8,8,none,,130,
1761179346.049712,127.0.0.1,49482,0x07f,TM,141,70,1,fixed:8,8,none,,56,
1761179346.051860,127.0.0.1,49482,0x0b3,TC,142,144,1,ns8,8,none,,130,
1761179346.053906,127.0.0.1,49482,0x07f,TM,142,70,1,fixed:8,8,none,,56,
1761179346.055984,127.0.0.1,49482,0x0b3,TC,143,144,1,ns8,8,none,,130,
1761179346.058065,127.0.0.1,49482,0x07f,TM,143,70,1,fixed:8,8,none,,56,
1761179346.060175,127.0.0.1,49482,0x0b3,TC,144,144,1,ns8,8,none,,130,
1761179346.062309,127.0.0.1,49482,0x07f,TM,144,70,1,fixed:8,8,none,,56,
1761179346.064419,127.0.0.1,49482,0x0b3,TC,145,144,1,ns8,8,none,,130,
1761179346.066514,127.0.0.1,49482,0x07f,TM,145,70,1,fixed:8,8,none,,56,
1761179346.068623,127.0.0.1,49482,0x0b3,TC,146,144,1,ns8,8,none,,130,
1761179346.070694,127.0.0.1,49482,0x07f,TM,146,70,1,fixed:8,8,none,,56,
1761179346.072809,127.0.0.1,49482,0x0b3,TC,147,144,1,ns8,8,none,,130,
